sps/test/Co60-Na22-Cs137/5s/50cm/2022628_17434_Co-60_Na-22_Cs-137_5s_50cm.sps                        5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.889, 'Cobalt-60 ': 0.243, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/5s/50cm/2022628_174315_Co-60_Na-22_Cs-137_5s_50cm.sps                       5  bps mllgr          {'Sodium-22 ': 0.961, 'Caesium-137 ': 0.816, 'Cobalt-60 ': 0.55, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/15cm/2022629_172434_Co-60_Na-22_Cs-137_15s_15cm.sps                     5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.993, 'Sodium-22 ': 0.313, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/15cm/2022629_172453_Co-60_Na-22_Cs-137_15s_15cm.sps                     5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.994, 'Sodium-22 ': 0.3, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/15cm/2022629_172530_Co-60_Na-22_Cs-137_15s_15cm.sps                     5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.99, 'Sodium-22 ': 0.292, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/15cm/2022629_172511_Co-60_Na-22_Cs-137_15s_15cm.sps                     5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.992, 'Sodium-22 ': 0.238, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/50cm/2022629_17235_Co-60_Na-22_Cs-137_15s_50cm.sps                      5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.593, 'Cobalt-60 ': 0.279, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/50cm/2022629_172248_Co-60_Na-22_Cs-137_15s_50cm.sps                     5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.867, 'Cobalt-60 ': 0.139, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/50cm/2022629_172232_Co-60_Na-22_Cs-137_15s_50cm.sps                     5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.636, 'Cobalt-60 ': 0.183, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/15s/50cm/2022629_172215_Co-60_Na-22_Cs-137_15s_50cm.sps                     5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.817, 'Cobalt-60 ': 0.354, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/15cm/202275_18343_Co-60_Na-22_Cs-137_60s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 0.999, 'Caesium-137 ': 0.991, 'Sodium-22 ': 0.663, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/15cm/202275_18230_Co-60_Na-22_Cs-137_60s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.988, 'Sodium-22 ': 0.606, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/15cm/202275_18117_Co-60_Na-22_Cs-137_60s_15cm.sps                       5  bps mllgr          {'Cobalt-60 ': 1.0, 'Caesium-137 ': 0.988, 'Sodium-22 ': 0.61, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/15cm/202275_1804_Co-60_Na-22_Cs-137_60s_15cm.sps                        5  bps mllgr          {'Cobalt-60 ': 0.999, 'Caesium-137 ': 0.993, 'Sodium-22 ': 0.487, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/50cm/202275_175655_Co-60_Na-22_Cs-137_60s_50cm.sps                      5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.73, 'Cobalt-60 ': 0.187, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/50cm/202275_175549_Co-60_Na-22_Cs-137_60s_50cm.sps                      5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.809, 'Cobalt-60 ': 0.199, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/50cm/202275_175444_Co-60_Na-22_Cs-137_60s_50cm.sps                      5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.664, 'Cobalt-60 ': 0.26, 'Americium-241 ': 0.0}
sps/test/Co60-Na22-Cs137/60s/50cm/202275_175338_Co-60_Na-22_Cs-137_60s_50cm.sps                      5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.786, 'Cobalt-60 ': 0.33, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/5s/15cm/2022628_173139_Na-22_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/5s/15cm/2022628_173157_Na-22_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.001, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/5s/15cm/2022628_173347_Na-22_Cs-137_5s_50cm.sps                                  5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.923, 'Cobalt-60 ': 0.006, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/5s/15cm/2022628_173145_Na-22_Cs-137_5s_15cm.sps                                  5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 1.0, 'Cobalt-60 ': 0.0, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/5s/15cm/2022628_173342_Na-22_Cs-137_5s_50cm.sps                                  5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.942, 'Cobalt-60 ': 0.028, 'Americium-241 ': 0.0}
sps/test/Na22_Cs137/5s/15cm/2022628_173336_Na-22_Cs-137_5s_50cm.sps                                  5  bps mllgr          {'Sodium-22 ': 1, 'Caesium-137 ': 0.826, 'Cobalt-60 ': 0.017, 'Americium-241 ': 0.0}
